
# Efinity Pinout Report
# Version: 2019.3.272
# Date: 2020-01-03 13:02

# Copyright (C) 2017 - 2019 Efinix Inc. All rights reserved.

# Device: T20F169
# Package status: final
# Project: DEMO
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Standard,Pull Type,Function
L5,GPIOB_TXN06,raspi_gpiox8[3].TXN,Input,4B,,,User IO
M6,GPIOB_TXN08,raspi_gpiox8[5].TXN,Input,4B,,,User IO
L6,GPIOB_TXN09,raspi_gpiox8[2].TXN,Input,4B,,,User IO
N3,GPIOB_TXP00,,,4B,,,User IO
M2,GPIOB_TXP01,,,4B,,,User IO
M3,GPIOB_TXP02,,,4B,,,User IO
K4,GPIOB_TXP03,,,4B,,,User IO
N5,GPIOB_TXP05,,,4B,,,User IO
K5,GPIOB_TXP06,raspi_gpiox8[0].TXP,Input,4B,,,User IO
N6,GPIOB_TXP08,raspi_gpiox8[4].TXP,Input,4B,,,User IO
K6,GPIOB_TXP09,raspi_gpiox8[1].TXP,Input,4B,,,User IO
L1,GPIOL_00_SS_N,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
K1,GPIOL_01_CCK,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
J1,GPIOL_08_CDI0,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
J2,GPIOL_09_CDI1,,Input,1A,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
F1,GPIOL_12_CDI2,butten_i,Input,1B_1C_1D,3.3 V LVTTL / LVCMOS,,User IO
G2,GPIOL_13_CDI3,,Input,1B_1C_1D,3.3 V LVTTL / LVCMOS,weak pull up,User IO
E1,GPIOL_20_CTRL0_CDI4,led1_o,Output,1B_1C_1D,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
F2,GPIOL_21_CTRL1_CDI5,led0_o,Output,1B_1C_1D,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
H3,GPIOL_24_CLK0,,Input,1B_1C_1D,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
G3,GPIOL_25_CLK1,,Input,1B_1C_1D,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCLK
D1,GPIOL_69_CBSEL1,,Input,1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
D2,GPIOL_70_CBSEL0,,Input,1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
C2,GPIOL_71_NSTATUS,,Input,1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
F3,GPIOL_72_EXTFB0_CDI14,,Input,1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_EXTFB
C1,GPIOL_73_EXTFB1_CDI15,,Input,1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_EXTFB
E3,GPIOL_74_PLLIN0,,Input,1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
B1,GPIOL_75_PLLIN1,,Input,1E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
D13,GPIOR_76_PLLIN0,pll_in,Input,3A_3B,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
F12,GPIOR_77_PLLIN1,,Input,3A_3B,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_CLKIN
E13,GPIOR_78_EXTFB0_CDI31,,Input,3A_3B,3.3 V LVTTL / LVCMOS,weak pull up,User IO/PLL_EXTFB
F11,GPIOR_81_MREFCLK,,Input,3A_3B,3.3 V LVTTL / LVCMOS,weak pull up,User IO/MIPI_CLKIN
E11,GPIOR_85,,Input,3A_3B,3.3 V LVTTL / LVCMOS,weak pull up,User IO
G11,GPIOR_88_CDI28,,Input,3A_3B,3.3 V LVTTL / LVCMOS,weak pull up,User IO
F13,GPIOR_119_CTRL12,,Input,3C_3D_3E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/GCTRL
G12,GPIOR_120_CLK15,butten_o,Output,3C_3D_3E,3.3 V LVTTL / LVCMOS,,User IO/GCLK
H11,GPIOR_121_CLK14,freq_1sec_o,Output,3C_3D_3E,3.3 V LVTTL / LVCMOS,,User IO/GCLK
G13,GPIOR_150_CBUS1,rasp1_i,Input,3C_3D_3E,3.3 V LVTTL / LVCMOS,,User IO/Configuration
J11,GPIOR_151_CBUS0,rasp0_i,Input,3C_3D_3E,3.3 V LVTTL / LVCMOS,,User IO/Configuration
H13,GPIOR_155,,Input,3C_3D_3E,3.3 V LVTTL / LVCMOS,weak pull up,User IO
J12,GPIOR_157_PLLIN,raspi_gpiox8[7],Input,3C_3D_3E,3.3 V LVTTL / LVCMOS,,User IO/PLL_CLKIN
H12,GPIOR_158_TEST_N,,Input,3C_3D_3E,3.3 V LVTTL / LVCMOS,weak pull up,User IO/Configuration
A5,MIPI0_RXDN0,,,2A,,,
D6,MIPI0_RXDN1,,,2A,,,
A6,MIPI0_RXDN2,,,2A,,,
D7,MIPI0_RXDN3,,,2A,,,
A7,MIPI0_RXDN4,,,2A,,,
B5,MIPI0_RXDP0,,,2A,,,
C6,MIPI0_RXDP1,,,2A,,,
B6,MIPI0_RXDP2,,,2A,,,
C7,MIPI0_RXDP3,,,2A,,,
B7,MIPI0_RXDP4,,,2A,,,
B2,MIPI0_TXDN0,,,2A,,,
D4,MIPI0_TXDN1,,,2A,,,
B3,MIPI0_TXDN2,,,2A,,,
D5,MIPI0_TXDN3,,,2A,,,
B4,MIPI0_TXDN4,,,2A,,,
A2,MIPI0_TXDP0,,,2A,,,
C4,MIPI0_TXDP1,,,2A,,,
A3,MIPI0_TXDP2,,,2A,,,
C5,MIPI0_TXDP3,,,2A,,,
A4,MIPI0_TXDP4,,,2A,,,
A11,MIPI1_RXDN0,,,2B,,,
D10,MIPI1_RXDN1,,,2B,,,
A12,MIPI1_RXDN2,,,2B,,,
D12,MIPI1_RXDN3,,,2B,,,
B13,MIPI1_RXDN4,,,2B,,,
B11,MIPI1_RXDP0,,,2B,,,
C10,MIPI1_RXDP1,,,2B,,,
B12,MIPI1_RXDP2,,,2B,,,
C12,MIPI1_RXDP3,,,2B,,,
C13,MIPI1_RXDP4,,,2B,,,
A8,MIPI1_TXDN0,,,2B,,,
D8,MIPI1_TXDN1,,,2B,,,
B9,MIPI1_TXDN2,,,2B,,,
D9,MIPI1_TXDN3,,,2B,,,
B10,MIPI1_TXDN4,,,2B,,,
B8,MIPI1_TXDP0,,,2B,,,
C8,MIPI1_TXDP1,,,2B,,,
A9,MIPI1_TXDP2,,,2B,,,
C9,MIPI1_TXDP3,,,2B,,,
A10,MIPI1_TXDP4,,,2B,,,
N4,REF_RES,,Input,4B,,,
H1,TCK,,Input,1A,3.3 V LVTTL / LVCMOS,,Configuration
J3,TDI,,Input,1A,3.3 V LVTTL / LVCMOS,,Configuration
G1,TDO,,Output,1A,3.3 V LVTTL / LVCMOS,,Configuration
H2,TMS,,Input,1A,3.3 V LVTTL / LVCMOS,,Configuration
E4,VCC,,Power,,,,1.2 V VCC Power
F7,VCC,,Power,,,,1.2 V VCC Power
F9,VCC,,Power,,,,1.2 V VCC Power
G5,VCC,,Power,,,,1.2 V VCC Power
G8,VCC,,Power,,,,1.2 V VCC Power
G9,VCC,,Power,,,,1.2 V VCC Power
H6,VCC,,Power,,,,1.2 V VCC Power
J6,VCC,,Power,,,,1.2 V VCC Power
E6,VCC12A_MIPI0_RX,,Power,2A,,,1.2 V MIPI RX Power
C3,VCC12A_MIPI0_TX,,Power,2A,,,1.2 V MIPI TX Power
E10,VCC12A_MIPI1_RX,,Power,2B,,,1.2 V MIPI RX Power
E8,VCC12A_MIPI1_TX,,Power,2B,,,1.2 V MIPI TX Power
E7,VCC25A_MIPI0,,Power,2A,,,2.5 V MIPI Power
E9,VCC25A_MIPI1,,Power,2B,,,2.5 V MIPI Power
J10,VCCA_BR,,Power,BR_CORNER,,,1.2 V PLL Power
G4,VCCA_TL,,Power,TL_CORNER,,,1.2 V PLL Power
G10,VCCA_TR,,Power,TR_CORNER,,,1.2 V PLL Power
J4,VCCIO1A,,Power,1A,3.3 V LVTTL / LVCMOS,,VCCIO Power
H4,VCCIO1B_1C_1D,,Power,1B_1C_1D,3.3 V LVTTL / LVCMOS,,VCCIO Power
F4,VCCIO1E,,Power,1E,3.3 V LVTTL / LVCMOS,,VCCIO Power
F10,VCCIO3A_3B,,Power,3A_3B,3.3 V LVTTL / LVCMOS,,VCCIO Power
H10,VCCIO3C_3D_3E,,Power,3C_3D_3E,3.3 V LVTTL / LVCMOS,,VCCIO Power
H7,VCCIO4A,,Power,4A,,,VCCIO Power
H8,VCCIO4A,,Power,4A,,,VCCIO Power
H9,VCCIO4A,,Power,4A,,,VCCIO Power
J9,VCCIO4A,,Power,4A,,,VCCIO Power
H5,VCCIO4B,,Power,4B,,,VCCIO Power
J5,VCCIO4B,,Power,4B,,,VCCIO Power
